DATE,USALOLITONOSTSAM
1960-01-31,100.694793221746
1960-02-29,100.421437462137
1960-03-31,100.118775301015
1960-04-30,99.8326637774533
1960-05-31,99.5826176253246
1960-06-30,99.364030418511
1960-07-31,99.1583243542525
1960-08-31,98.9633025989359
1960-09-30,98.7703937003595
1960-10-31,98.6049549410427
1960-11-30,98.4965179640339
1960-12-31,98.4767173988507
1961-01-31,98.5624837327875
1961-02-28,98.7719677890662
1961-03-31,99.0928211737111
1961-04-30,99.4786842990889
1961-05-31,99.8724099088585
1961-06-30,100.238758305103
1961-07-31,100.554177550809
1961-08-31,100.811978166912
1961-09-30,100.999954172557
1961-10-31,101.115981479153
1961-11-30,101.165439678647
1961-12-31,101.13666183445
1962-01-31,101.022932181919
1962-02-28,100.840835978826
1962-03-31,100.592601092076
1962-04-30,100.301336300559
1962-05-31,100.007173889332
1962-06-30,99.7510080035622
1962-07-31,99.5743176129208
1962-08-31,99.4849927868488
1962-09-30,99.4811259540795
1962-10-31,99.5502684827207
1962-11-30,99.6761551504298
1962-12-31,99.8279536599024
1963-01-31,99.9780548474085
1963-02-28,100.10824415486
1963-03-31,100.21090099985
1963-04-30,100.282573974763
1963-05-31,100.309621305624
1963-06-30,100.291860046007
1963-07-31,100.248652104213
1963-08-31,100.203988765863
1963-09-30,100.17946151242
1963-10-31,100.171301217675
1963-11-30,100.175068942796
1963-12-31,100.203011870646
1964-01-31,100.265521769793
1964-02-29,100.342344186463
1964-03-31,100.427476878567
1964-04-30,100.511838506441
1964-05-31,100.589009953868
1964-06-30,100.658269651595
1964-07-31,100.715891466847
1964-08-31,100.754360962678
1964-09-30,100.79270280086
1964-10-31,100.836219402106
1964-11-30,100.899772369676
1964-12-31,100.975665226885
1965-01-31,101.04278164264
1965-02-28,101.082643416069
1965-03-31,101.084094788702
1965-04-30,101.044075273092
1965-05-31,100.979411615121
1965-06-30,100.919483910665
1965-07-31,100.897970536792
1965-08-31,100.932557595615
1965-09-30,101.029361068923
1965-10-31,101.177950649179
1965-11-30,101.354194691283
1965-12-31,101.523212232196
1966-01-31,101.643157904655
1966-02-28,101.672167622982
1966-03-31,101.587300407963
1966-04-30,101.390918729444
1966-05-31,101.105536855441
1966-06-30,100.786131882683
1966-07-31,100.459298308998
1966-08-31,100.142697508002
1966-09-30,99.8404789085953
1966-10-31,99.5476945648506
1966-11-30,99.2760073558709
1966-12-31,99.0438342941308
1967-01-31,98.8735494355988
1967-02-28,98.7812557399536
1967-03-31,98.7945625511353
1967-04-30,98.9170531026723
1967-05-31,99.1366445768955
1967-06-30,99.41140010624
1967-07-31,99.7060371278949
1967-08-31,99.9902136090628
1967-09-30,100.235059408488
1967-10-31,100.429895154348
1967-11-30,100.57083710198
1967-12-31,100.659172709199
1968-01-31,100.691743701984
1968-02-29,100.695876175936
1968-03-31,100.689945731229
1968-04-30,100.684242272848
1968-05-31,100.685672723598
1968-06-30,100.707090869657
1968-07-31,100.760963827813
1968-08-31,100.857873274509
1968-09-30,100.997810200157
1968-10-31,101.137224710604
1968-11-30,101.224768729957
1968-12-31,101.242386407617
1969-01-31,101.194417803451
1969-02-28,101.088304641695
1969-03-31,100.932675076187
1969-04-30,100.728590971814
1969-05-31,100.480843337351
1969-06-30,100.229790340472
1969-07-31,100.007346672052
1969-08-31,99.8218895004345
1969-09-30,99.6527836110326
1969-10-31,99.4688235115985
1969-11-30,99.2525201582939
1969-12-31,99.0001119537921
1970-01-31,98.7191941247408
1970-02-28,98.4406610817716
1970-03-31,98.1916341253373
1970-04-30,97.9957647454896
1970-05-31,97.8790445042274
1970-06-30,97.8339991478598
1970-07-31,97.8345130828998
1970-08-31,97.8726936870663
1970-09-30,97.9647988521193
1970-10-31,98.1398685104227
1970-11-30,98.4319547970074
1970-12-31,98.8333992176472
1971-01-31,99.2706536291369
1971-02-28,99.6610248272241
1971-03-31,99.9524927027831
1971-04-30,100.141900608694
1971-05-31,100.238900063415
1971-06-30,100.272430478578
1971-07-31,100.279478350816
1971-08-31,100.299771253611
1971-09-30,100.374546406176
1971-10-31,100.534059531393
1971-11-30,100.790387541479
1971-12-31,101.126556013847
1972-01-31,101.478654022605
1972-02-29,101.793158233484
1972-03-31,102.039541150227
1972-04-30,102.221170813101
1972-05-31,102.360423127215
1972-06-30,102.483347912106
1972-07-31,102.622449581606
1972-08-31,102.798960909846
1972-09-30,102.994043775889
1972-10-31,103.176651172859
1972-11-30,103.322412513956
1972-12-31,103.3996670261
1973-01-31,103.387053196263
1973-02-28,103.275437566837
1973-03-31,103.061974102491
1973-04-30,102.762484380566
1973-05-31,102.411364886343
1973-06-30,102.05114485505
1973-07-31,101.716005037442
1973-08-31,101.426335463172
1973-09-30,101.195565179431
1973-10-31,101.00883606605
1973-11-30,100.825382668706
1973-12-31,100.629666467383
1974-01-31,100.430306300433
1974-02-28,100.203802987751
1974-03-31,99.9313929123866
1974-04-30,99.5977863190341
1974-05-31,99.2095440492401
1974-06-30,98.7779665869409
1974-07-31,98.3149874414849
1974-08-31,97.8234909096501
1974-09-30,97.3133219761577
1974-10-31,96.8328910373516
1974-11-30,96.4255439503786
1974-12-31,96.1517214124097
1975-01-31,96.0658085202851
1975-02-28,96.1589511918997
1975-03-31,96.4028980660702
1975-04-30,96.7672574732179
1975-05-31,97.194759143677
1975-06-30,97.6447957899992
1975-07-31,98.0898454588406
1975-08-31,98.5071710024016
1975-09-30,98.8945409566212
1975-10-31,99.2621309255552
1975-11-30,99.6214027334941
1975-12-31,99.979113195027
1976-01-31,100.320895033544
