,DATE
51,2008-08
52,2008-09
53,2008-10
54,2008-11
55,2008-12
56,2009-01
57,2009-02
58,2009-03
59,2009-04
60,2009-05
61,2011-09
62,2011-10
63,2011-11
64,2011-12
65,2012-01
66,2015-10
67,2015-11
68,2015-12
69,2016-01
70,2016-02
71,2016-03
72,2016-07
73,2019-02
74,2019-03
75,2019-06
76,2019-07
77,2019-09
78,2020-03
79,2020-04
80,2020-05
81,2020-06
82,2020-07
83,2020-08
84,2020-09
85,2020-10
86,2020-11
87,2020-12
