DATE,USALORSGPNOSTSAM
1990-01-31,101.347724310066
1990-02-28,101.369278332189
1990-03-31,101.363418365951
1990-04-30,101.318410875686
1990-05-31,101.226001968076
1990-06-30,101.079776084392
1990-07-31,100.877009791663
1990-08-31,100.61834200343
1990-09-30,100.31155338104
1990-10-31,99.9793133095616
1990-11-30,99.650303046072
1990-12-31,99.3524444014666
1991-01-31,99.1061965169314
1991-02-28,98.9249800221174
1991-03-31,98.811943439096
1991-04-30,98.7520443613855
1991-05-31,98.7243138509499
1991-06-30,98.7101330446172
1991-07-31,98.6991375131452
1991-08-31,98.6886928687735
1991-09-30,98.6830751945597
1991-10-31,98.6925261935433
1991-11-30,98.728770038417
1991-12-31,98.7993611251981
1992-01-31,98.8999760110873
1992-02-29,99.0211805897095
1992-03-31,99.1528503791174
1992-04-30,99.2869450873036
1992-05-31,99.4173628314894
1992-06-30,99.5394363117884
1992-07-31,99.6495000004432
1992-08-31,99.7431397737837
1992-09-30,99.8141085165865
1992-10-31,99.8542317718158
1992-11-30,99.8560699915058
1992-12-31,99.8175954053245
1993-01-31,99.7493731185797
1993-02-28,99.666731734959
1993-03-31,99.5839354188412
1993-04-30,99.5092947128602
1993-05-31,99.4486226859129
1993-06-30,99.4079245885997
1993-07-31,99.39490866173
1993-08-31,99.4168351629907
1993-09-30,99.4762153664537
1993-10-31,99.5638002334557
1993-11-30,99.6666139916095
1993-12-31,99.7737139337479
1994-01-31,99.8806397905309
1994-02-28,99.9857609254745
1994-03-31,100.086406780352
1994-04-30,100.174897347331
1994-05-31,100.242734909568
1994-06-30,100.285441791074
1994-07-31,100.308636024208
1994-08-31,100.320229342767
1994-09-30,100.32383862762
1994-10-31,100.312870128306
1994-11-30,100.276589929888
1994-12-31,100.207027180323
1995-01-31,100.107447276785
1995-02-28,99.987021199842
1995-03-31,99.857508182824
1995-04-30,99.7313209109383
1995-05-31,99.6190172251563
1995-06-30,99.5264619783657
1995-07-31,99.4508880209662
1995-08-31,99.3866386826035
1995-09-30,99.3294774666852
1995-10-31,99.2798940227993
1995-11-30,99.24239359301
1995-12-31,99.2240970375891
1996-01-31,99.2323330137471
1996-02-29,99.2722172463209
1996-03-31,99.3421606336609
1996-04-30,99.4269047532153
1996-05-31,99.5069111831368
1996-06-30,99.5664586901103
1996-07-31,99.6018676641258
1996-08-31,99.6158455919462
1996-09-30,99.6133789947121
1996-10-31,99.5990080559274
1996-11-30,99.5781785138541
1996-12-31,99.5593000967828
1997-01-31,99.5561286174945
1997-02-28,99.5821274779225
1997-03-31,99.6436340122245
1997-04-30,99.7308172698011
1997-05-31,99.8267379109418
1997-06-30,99.9143721052025
1997-07-31,99.9828695829924
1997-08-31,100.026328711496
1997-09-30,100.043823644365
1997-10-31,100.041106903545
1997-11-30,100.026317711873
1997-12-31,100.007097374046
1998-01-31,99.9885508917225
1998-02-28,99.9747202198353
1998-03-31,99.9699794305509
1998-04-30,99.9800702876504
1998-05-31,100.011086823612
1998-06-30,100.067401514715
1998-07-31,100.148091571556
1998-08-31,100.248522940232
1998-09-30,100.360154658422
1998-10-31,100.46890753239
1998-11-30,100.560230992216
1998-12-31,100.624379860261
1999-01-31,100.662934738365
1999-02-28,100.683992739711
1999-03-31,100.699232682377
1999-04-30,100.722313309206
1999-05-31,100.76581689132
1999-06-30,100.837747883392
1999-07-31,100.93666312265
1999-08-31,101.055100362908
1999-09-30,101.1811170299
1999-10-31,101.29849823869
1999-11-30,101.393390218818
1999-12-31,101.461640635627
2000-01-31,101.517802531457
2000-02-29,101.580074099811
2000-03-31,101.656237269498
2000-04-30,101.729292633883
2000-05-31,101.772602885646
2000-06-30,101.765350230436
2000-07-31,101.710169714348
2000-08-31,101.619170369974
2000-09-30,101.503535284424
2000-10-31,101.365934607591
2000-11-30,101.205248092362
2000-12-31,101.02299213489
2001-01-31,100.831477653266
2001-02-28,100.644556641578
2001-03-31,100.469325177404
2001-04-30,100.29777373197
2001-05-31,100.117377317068
2001-06-30,99.9214177760112
2001-07-31,99.7199170861143
2001-08-31,99.5308402972693
2001-09-30,99.3719377604355
2001-10-31,99.2519385036109
