Date,SPY,LQD,TLT,HYG,EMB
2008-01,-5.2163008687618255,1.366916500667159,0.6463903426559892,-0.623088549281281,0.8079408603964167
2008-02,-2.584270857228921,-0.7062980422791743,-0.45535752108456506,-1.8693449121362393,-0.4065210686557741
2008-03,-0.8942248574467904,-0.5971283572161035,2.1388345829907784,0.9460712675852134,0.0930711809736362
2008-04,4.766237650125227,1.244641297351956,-2.4862215869078774,3.3968689099105998,1.1616286266727505
2008-05,1.5116552148348283,-2.205114097937977,-2.6882967632181676,-0.5083915753698376,0.10459755185312503
2008-06,-8.357614352679732,-1.291771522248486,2.6536178177083425,-3.6747880422503765,-1.9811728556564434
2008-07,-0.8985697089143985,0.39021762545414784,-0.36732856522658786,0.590223352164787,0.7878784169995878
2008-08,1.545405627747054,0.14468209440947621,2.739242460669322,-0.8976255618485918,0.7153305093148266
2008-09,-9.41740001057264,-10.730464948998053,1.4759240116781758,-10.65592761150329,-7.145023792922711
2008-10,-16.518662515202788,-1.9409978696909747,-1.8607340146257645,-11.449988123930465,-19.39371117515649
2008-11,-6.960595757081611,3.353771449734544,14.341416397780149,-7.095830637613421,9.5685407466922
2008-12,0.9795948388776177,13.81431486316771,13.65241921791105,16.76625753195524,17.70385576980371
2009-01,-8.211451317679487,-1.8002701408864397,-13.070819466137184,-1.013031633806949,-6.963046490927038
2009-02,-10.744881498899817,-5.20391306331065,-1.531905631310626,-9.715774552219347,-5.6061143382309275
2009-03,8.331067882083797,0.4718941481658856,4.047286420337315,1.9072849436733375,5.108654683629044
2009-04,9.93460591198312,2.7766816789647653,-6.95202669137659,13.84603864314984,7.727413548132089
2009-05,5.845361574245245,2.3168303761682774,-3.6949022236810847,2.855575885333539,2.8998380939915025
2009-06,-0.06547490192058136,2.8914573757343076,0.7510684916058441,3.3516263483712283,0.9593187401002679
2009-07,7.460527263016159,4.632528093341826,0.5760275317103547,6.919117501438055,3.1120246627113657
2009-08,3.6939905044092614,1.3100719902903402,2.2308433115693083,-1.6969718660505673,2.43567098252615
2009-09,3.5457039202657414,1.758960022257483,2.4581231346730847,5.7990486528792795,5.2126479103333345
2009-10,-1.922509931758687,-0.49712672154869075,-2.615998291848154,-0.5429261625248372,-0.5323297177316832
2009-11,6.160665916073094,1.9524952948341223,1.2128447648961593,1.6844606810118012,0.7954420581406163
2009-12,1.9101074951213493,-2.0673684102544776,-6.345629184584867,3.6847115022133448,0.23723347556532381
2010-01,-3.6343013782605182,1.248182677160825,2.6921151347152783,-1.83282130292165,-0.5404110619876334
2010-02,3.1195173829017264,0.5067391021936762,-0.3424444945910099,1.8733554292352128,1.329056945843754
2010-03,6.087958056306619,0.6517677152266144,-2.057308849500561,2.1335261068470057,2.609255884949979
2010-04,1.5470182447182346,1.907928362591127,3.3218276341346,1.9245027552889038,0.5098152768532538
2010-05,-7.945462688481319,-1.3082408602807738,5.108362581289416,-4.675537751731628,-1.819359251018171
2010-06,-5.174107906223258,3.278523154914259,5.797804926521044,1.111145383935619,2.394361517787469
2010-07,6.830072645020757,2.1107493955837775,-0.9463875330261384,5.1532099223048355,4.052907122150895
2010-08,-4.498049303341656,2.8552955140790814,8.39093982273642,-0.9895210121336762,2.5882346158913716
2010-09,8.955495871412644,0.4565785393385813,-2.520389031281234,3.657872882795199,1.6102679622800098
2010-10,3.820199949917269,-0.2627445195811151,-4.469201739775064,1.8373165547855397,1.9437491786848948
2010-11,2.220446049250313e-14,-1.6153026975439966,-1.689373703530217,-1.2748091410426987,-4.425152901098295
2010-12,6.685219725957392,-0.7520609784195553,-3.6989614238498114,2.7928813989852586,0.3733877624946924
2011-01,2.3299995136054408,0.03688023484011982,-3.081305769450704,1.65023573326315,-1.0366972205867908
2011-02,3.4737426967630824,1.0800825673373815,1.6502372314740832,1.43547724669153,-0.0616168110972648
2011-03,0.012026417058796923,-0.5405864082700607,0.02929534414262136,0.042435178871369494,1.5524027796576023
2011-04,2.8961254335486464,2.5044184857056395,2.3391375344838927,1.597514251897847,1.706598542290494
2011-05,-1.1214172997628724,1.269489154961434,3.422866770205535,0.13339941806600475,1.44778142980726
2011-06,-1.6869841862179213,-0.797177800135096,-2.3231138311316513,-0.5706758486827335,0.6222186008145947
2011-07,-2.0004830576516253,2.430170449425928,4.414537878891656,0.35492201921714095,1.9729559989121626
2011-08,-5.497562437568327,0.3403573675376137,9.667581744327602,-2.7281578973010756,0.5153500263373134
2011-09,-6.94206291022037,0.35116125245333585,13.20610698070903,-5.301455800240573,-4.789850172732402
2011-10,10.91471053243982,2.509497044514486,-3.8292025177379063,8.491713603976535,5.153897266093277
2011-11,-0.4063785444308854,-3.1566298295567785,1.9890574279425088,-2.4269810184938234,-1.2868811937080449
2011-12,1.044835423152013,3.4882180674097985,3.444911807136397,4.5520396249255635,1.9120548460238584
2012-01,4.637417964643342,2.1449057360111823,-0.32991678704813454,1.4649402411557988,1.1390447945806237
2012-02,4.340581625488316,1.6328111005899038,-2.59704774668732,2.1022509812644197,2.470832328949135
2012-03,3.2163755048679743,-1.4211468920840686,-4.23601223006187,-0.9531177668492319,-0.12142153513455822
2012-04,-0.6675825905717025,1.0821785748324597,4.834246755556104,1.1367083104608655,1.7869049729508868
2012-05,-6.005566808596452,0.7571412183091208,9.025432990351723,-3.2208624330671842,-2.7706643722463564
2012-06,4.0581248164321515,0.8715624627539276,-1.6782545109586988,4.656841988085536,4.06473886526455
2012-07,1.1829462003903668,3.482986679622524,3.8172600423478587,1.0223005292140819,3.7427754873392116
