DATE,DGS7
2008-01,0.9802813973561024
2008-02,0.8809929948804109
2008-03,0.7823962138618157
2008-04,0.9968791313166684
2008-05,1.0427604174088971
2008-06,1.1593267720283378
2008-07,1.1753662598362746
2008-08,1.042373380875827
2008-09,0.9568430185735142
2008-10,0.9939908759374554
2008-11,0.6492466487121413
2008-12,0.510559856685971
2009-01,0.4795156524347477
2009-02,0.5412773531447659
2009-03,0.6913763597588678
2009-04,0.667638203268641
2009-05,0.7407462165991778
2009-06,1.0711383499034928
2009-07,0.9734270307248936
2009-08,0.9430588815005456
2009-09,0.8666180681572222
2009-10,0.8464155335410912
2009-11,0.7282934108105397
2009-12,0.946770555024701
2010-01,0.8223272108624875
2010-02,0.7935936219107824
2010-03,1.0460888534389046
2010-04,1.0348018987005974
2010-05,0.757949609373183
2010-06,0.7800881455651534
2010-07,0.6571064373507121
2010-08,0.5798000023599932
2010-09,0.5317788446688414
2010-10,0.4432643047160787
2010-11,0.4927680493135169
2010-12,0.7807459072728065
2011-01,0.7115708635435358
2011-02,0.7411041359016508
2011-03,0.8869096302078796
2011-04,0.7497817905441342
2011-05,0.6843313275889895
2011-06,0.6444842517642699
2011-07,0.5687523413958109
2011-08,0.450120675077768
2011-09,0.3444698567345379
2011-10,0.3787710312548149
2011-11,0.3341719268279886
2011-12,0.3471236617626978
2012-01,0.3154868776919017
2012-02,0.3136742021708516
2012-03,0.4070778667417325
2012-04,0.3460541553828562
2012-05,0.3038052168715845
2012-06,0.2530515472937891
2012-07,0.2283692766055129
2012-08,0.2964394572571904
2012-09,0.2353037028433247
2012-10,0.2702655094112351
2012-11,0.2388044760925807
2012-12,0.2530946378449161
2013-01,0.3111986910885655
2013-02,0.2897979507266637
2013-03,0.2992342787995741
2013-04,0.2866588133085754
2013-05,0.3317670406335637
2013-06,0.40475229459659
2013-07,0.5430935036445399
2013-08,0.5975373056586366
2013-09,0.5502831945655642
2013-10,0.543851832282805
2013-11,0.4757772415463319
2013-12,0.6073497864407484
2014-01,0.6100265662988895
2014-02,0.4987907462123659
2014-03,0.5901596069619608
2014-04,0.6020247964851522
2014-05,0.5538537929175698
2014-06,0.5771508369027509
2014-07,0.6046078578787197
2014-08,0.5409754164219471
2014-09,0.5859678225195604
2014-10,0.5394581504230176
2014-11,0.4355424799665668
2014-12,0.5394690584826394
2015-01,0.3930915075383319
2015-02,0.4002987332684846
2015-03,0.4942139948602577
2015-04,0.4461246581164633
2015-05,0.4665443152790414
2015-06,0.5795075877610405
2015-07,0.5599776599961128
2015-08,0.4872384259497011
2015-09,0.477490809601496
2015-10,0.4432148694240492
2015-11,0.4635359392090534
2015-12,0.5587561543771322
2016-01,0.4169043749662797
2016-02,0.3557673116718585
2016-03,0.4438486275916422
2016-04,0.3871228899874346
2016-05,0.3949291140871978
2016-06,0.3700183551631604
2016-07,0.3017991174076944
2016-08,0.3762610325690905
2016-09,0.3561861035321136
2016-10,0.3639399173357238
2016-11,0.4661804978975172
2016-12,0.6095567855807773
2017-01,0.5554766483979177
2017-02,0.5185724970744325
2017-03,0.6875802521345731
2017-04,0.4853477953005261
2017-05,0.583380435435922
2017-06,0.5482515185937924
2017-07,0.5251788598462901
2017-08,0.5868202187478113
2017-09,0.4952885618068892
2017-10,0.578539052822445
2017-11,0.5893881227920899
2017-12,0.581702505463598
2018-01,0.6831771279298593
2018-02,0.6830369385370061
2018-03,0.7758412086287467
2018-04,0.7914442119277139
2018-05,0.8891110560628419
2018-06,0.8117783548822732
2018-07,0.8052708689131016
2018-08,0.9053709340657627
2018-09,0.7414501330117678
2018-10,0.95270342990321
2018-11,0.8184151981924708
2018-12,0.6753518354060559
2019-01,0.7175027161211691
2019-02,0.6209421468067988
2019-03,0.6691025284516783
2019-04,0.6545244972862061
2019-05,0.644316290299322
2019-06,0.4701441637260075
2019-07,0.5231022116189603
2019-08,0.4037715710289513
2019-09,0.3839390238404074
2019-10,0.4225501866886938
2019-11,0.386755909621977
2019-12,0.4528901948064179
2020-01,0.4157992519604525
2020-02,0.3079686885092443
2020-03,0.1865022080515206
2020-04,0.1209609904601916
2020-05,0.1104049261228798
2020-06,0.1293687332109085
2020-07,0.1067907336025801
2020-08,0.1018310241206075
2020-09,0.1016140796705549
2020-10,0.1228585638422457
2020-11,0.127517927113927
2020-12,0.1556041065876601
2021-01,0.1559739897690053
2021-02,0.1881538722413034
2021-03,0.3368974600709722
2021-04,0.3307380777167503
2021-05,0.289400122229265
2021-06,0.3097502993201189
2021-07,0.2513138789141635
2021-08,0.2615808674782622
2021-09,0.2750434454402479
2021-10,0.3210775850932985
2021-11,0.3331140411756865
2021-12,0.3565904176449666
