DATE,Return
2008-01,-0.8040060270887386
2008-02,-0.5471850103582127
2008-03,-0.2942223062978814
2008-04,-0.3346217592256925
2008-05,-0.4472272644607543
2008-06,-0.4799568112346211
2008-07,-0.4483962122755855
2008-08,-0.4179611134251486
2008-09,-0.2328729856245916
2008-10,-0.0997005483247374
2008-11,-0.0043870026525889
2008-12,-0.025541330490256
2009-01,-0.002679552004701
2009-02,-0.0333987551070024
2009-03,-0.0856941376450815
2009-04,-0.0502606086132052
2009-05,-0.0619494351001251
2009-06,-0.0345396081448779
2009-07,-0.0435736079164228
2009-08,-0.0268306826309011
2009-09,-0.0421246489885611
2009-10,-0.0265499917768737
2009-11,-0.0161711381466295
2009-12,-0.0053718948087545
2010-01,-0.0037330847797807
2010-02,-0.0267216312413201
2010-03,-0.0497410746467999
2010-04,-0.042618331523665
2010-05,-0.0068454066995903
2010-06,-0.0336799503401828
2010-07,-0.0494593798833258
2010-08,-0.0188204807007511
2010-09,-0.0566530903617259
2010-10,-0.0329507880320833
2010-11,-0.019961567027051
2010-12,-0.0416543073280001
2011-01,-0.0284123775142489
2011-02,-0.0233256009863811
2011-03,-0.0331548006959364
2011-04,-0.0290971232220185
2011-05,-0.0035482250409715
2011-06,-0.0083598923153698
2011-07,-0.009962849237957
2011-08,0.009726614247107
2011-09,0.059438215913167
2011-10,-0.0348621192127456
2011-11,0.005960894795411
2011-12,0.0086162261778309
2012-01,-0.0299380623003347
2012-02,-0.025653581704525
2012-03,-0.0109697124002156
2012-04,-0.0114398441694546
2012-05,0.0286049284520553
2012-06,-0.0425307339736745
2012-07,-0.0223548703612685
2012-08,-0.0243507865220308
2012-09,-0.0363849852806713
2012-10,-0.0194615504238022
2012-11,-0.0207959981035423
2012-12,-0.0164451096079363
2013-01,-0.0159637152506323
2013-02,-0.0151726765266402
2013-03,-0.0255540700920052
2013-04,-0.022661502015921
2013-05,0.0125574254214741
2013-06,0.0018462596396879
2013-07,-0.0053573353452716
2013-08,0.0076303347159732
2013-09,-0.0203918375269138
2013-10,-0.0173028380810432
2013-11,-0.0072710204522711
2013-12,-0.016497703355364
2014-01,0.004032763198718
2014-02,-0.0171706242547152
2014-03,-0.0166476371863425
2014-04,-0.0043846626245807
2014-05,-0.0136069574831941
2014-06,-0.011429553780907
2014-07,0.0023119489998627
2014-08,-0.012048782481757
2014-09,0.0137471216958005
2014-10,-0.0023207922886654
2014-11,0.0143473578119252
2014-12,0.0162394945298067
2015-01,0.002737228526677
2015-02,-2.520847074127504e-05
2015-03,0.0003417278492477
2015-04,-0.0073211293657907
2015-05,0.0004550084190841
2015-06,0.0010303672511552
2015-07,0.0094916158259376
2015-08,0.0157361847990964
2015-09,0.0005303448499445
2015-10,-0.0195286519911849
2015-11,-0.0146511778347195
2015-12,-0.0295236411363845
2016-01,-0.0337057817087623
2016-02,-0.0675661090246568
2016-03,-0.100571066141899
2016-04,-0.0539829555686066
2016-05,-0.0265444793585264
2016-06,-0.0694858145667721
2016-07,-0.0595835947759607
2016-08,-0.0682998785790253
2016-09,-0.0591246865261558
2016-10,-0.0671407484341974
2016-11,-0.0592301100218877
2016-12,-0.1122174669859922
2017-01,-0.1233582081215521
2017-02,-0.1200743982927326
2017-03,-0.2047144647628428
2017-04,-0.1608188719151479
2017-05,-0.2247984229688076
2017-06,-0.2491025802712222
2017-07,-0.2550347776363963
2017-08,-0.2734180530266549
2017-09,-0.2183692984309578
2017-10,-0.2454876292575559
2017-11,-0.3082091818365272
2017-12,-0.2987335185538473
2018-01,-0.3725373572892799
2018-02,-0.3357322285719771
2018-03,-0.4473771430451875
2018-04,-0.4344968558276856
2018-05,-0.4858611761200209
2018-06,-0.4782295419010725
2018-07,-0.5317917227508339
2018-08,-0.5829987875861856
2018-09,-0.5130880717742521
2018-10,-0.6175636316710512
2018-11,-0.5971572549615446
2018-12,-0.580000750428287
2019-01,-0.6739623749987952
2019-02,-0.5790185747292398
2019-03,-0.6602198469795411
2019-04,-0.6546131988110492
2019-05,-0.6625616638817364
2019-06,-0.5671307739883088
2019-07,-0.5931304874825749
2019-08,-0.5085632307890854
2019-09,-0.475006149816787
2019-10,-0.4602071774863426
2019-11,-0.3324950600015555
2019-12,-0.407037544213455
2020-01,-0.3767169318093668
2020-02,-0.3186013539483512
2020-03,0.004801714167861
2020-04,-0.0431994020162228
2020-05,-0.0530126506819937
2020-06,-0.0282762088533964
2020-07,-0.0421394723440617
2020-08,-0.0374591560497423
2020-09,-0.0178242405516052
2020-10,-0.034578657337656
2020-11,-0.0465438554345035
2020-12,-0.0290756589462829
2021-01,-0.0078028866889854
2021-02,0.0017575725339655
2021-03,-0.0006894940877432
2021-04,-0.0151207503209001
2021-05,-0.0150787971201746
2021-06,0.0003467241122943
2021-07,-0.0097741831208735
2021-08,-0.0121274163858942
2021-09,0.0057788451351694
2021-10,-0.0110098449070504
2021-11,-0.0009474250075386
2021-12,-0.0231935351386443
