DATE,DGS10
1998-01,1.942447190363172
1998-02,1.803099798915114
1998-03,2.3487288278191163
1998-04,2.1636428837221606
1998-05,2.0032704290249397
1998-06,2.2450637441580286
1998-07,2.221468344606261
1998-08,1.982762838405832
1998-09,1.6801171566214022
1998-10,1.5354124727554819
1998-11,1.4491664532911006
1998-12,1.71521124430629
1999-01,1.4028518430574604
1999-02,1.526420931619318
1999-03,2.2318722488509435
1999-04,2.0404645915227237
1999-05,1.9396643376097282
1999-06,2.5291246748621985
1999-07,2.2621072522034558
1999-08,2.558218675850343
1999-09,2.3429202658517467
1999-10,2.275573462164789
1999-11,2.227754067592344
1999-12,2.815218347274485
2000-01,2.6317049307107836
2000-02,2.536540173064515
2000-03,3.0380546211578565
2000-04,2.0204295827403413
2000-05,2.9477096194040695
2000-06,2.676982653337434
2000-07,2.2399624411461883
2000-08,2.678153419749191
2000-09,2.0876616564893604
2000-10,2.2277458531949605
2000-11,2.2140241554044735
2000-12,1.7774668506353732
2001-01,1.8769861589155132
2001-02,1.5725685649559429
2001-03,1.8558338007962631
2001-04,1.7254220078896454
2001-05,2.1747143536909443
2001-06,1.9487146146717218
2001-07,1.9205339649108946
2001-08,2.052224978835963
2001-09,1.194462601893013
2001-10,1.6709300257119328
2001-11,1.4824116997458732
2001-12,1.6978205932190682
2002-01,1.8059065375116092
2002-02,1.4868185784979606
2002-03,1.8005272454505308
2002-04,2.057271409852385
2002-05,2.027774292666671
2002-06,1.6163686463304106
2002-07,1.7198548729314385
2002-08,1.5022779488673477
2002-09,1.1369570641794096
2002-10,1.3403500875268137
2002-11,1.125536765613981
2002-12,1.2936826931444805
2003-01,1.3012121336203428
2003-02,1.069672193399004
2003-03,1.1915976415478693
2003-04,1.2597760182223405
2003-05,1.0883961774926783
2003-06,0.9912563823996725
2003-07,1.3574520479030325
2003-08,1.49263282312786
2003-09,1.408298735870332
2003-10,1.5198467817035324
2003-11,1.1335995628542594
2003-12,1.5078148908642435
2004-01,1.2553880750976476
2004-02,1.1394940011692851
2004-03,1.3718379190613335
2004-04,1.4441268489961336
2004-05,1.5131372317052971
2004-06,1.6413345858790604
2004-07,1.5192678428310669
2004-08,1.5150341668754992
2004-09,1.3373026521413185
2004-10,1.2323469639357256
2004-11,1.274323361625497
2004-12,1.4884045967654385
2005-01,1.286363971342586
2005-02,1.1713594391030444
2005-03,1.63236750880565
2005-04,1.4408783042719406
2005-05,1.3460748843397177
2005-06,1.3689931811016476
2005-07,1.26713119240654
2005-08,1.6118812261946456
2005-09,1.3721148899247626
2005-10,1.3949093455561727
2005-11,1.42790612301522
2005-12,1.5036424949418792
2006-01,1.3732265857110324
2006-02,1.3369626690796284
2006-03,1.8910320930665416
2006-04,1.5226091282683138
2006-05,1.9934224782718295
2006-06,1.991123883554485
2006-07,1.6978627548261005
2006-08,1.9894940577275322
2006-09,1.5148199122458537
2006-10,1.6388066425052217
2006-11,1.5689083106237018
2006-12,1.4416459790851328
2007-01,1.65497838322145
2007-02,1.403075894993406
2007-03,1.669666830105764
2007-04,1.6202356643133835
2007-05,1.7736592702598108
2007-06,1.8438186982289668
2007-07,1.788311598022005
2007-08,1.859983374785163
2007-09,1.3169124660613614
2007-10,1.649033401789684
2007-11,1.2544964218050358
2007-12,1.2325469962875077
2008-01,1.1639217895430267
2008-02,1.0831004935230477
2008-03,0.9936215616990194
2008-04,1.2121837250867191
2008-05,1.2241671867022168
2008-06,1.3249782030623352
2008-07,1.3737743024248839
2008-08,1.2267391360638191
2008-09,1.1386109820681707
2008-10,1.278378838024984
2008-11,0.8659564710713024
2008-12,0.6908215453410564
2009-01,0.6441713086769616
2009-02,0.7119096848995055
2009-03,0.8435565296216179
2009-04,0.8328337574835858
2009-05,0.9116379414130213
2009-06,1.2342659672202179
2009-07,1.1598710075165806
2009-08,1.0961081783811903
2009-09,1.0188187660157966
2009-10,1.0129554414314739
2009-11,0.888407127399391
2009-12,1.172594123271049
2010-01,1.006465678403074
2010-02,0.991053921960314
2010-03,1.3203078398968118
2010-04,1.2942860002844916
2010-05,0.9592096165719808
2010-06,1.001367118937659
2010-07,0.8646280377603333
2010-08,0.7964329490389888
2010-09,0.7311017091133385
2010-10,0.6514395372890636
2010-11,0.7247629157423621
2010-12,1.0387021764845898
2011-01,0.9494216798306543
2011-02,0.9495982706337365
2011-03,1.1644837279694427
2011-04,0.9725450551433357
2011-05,0.9252802104270845
2011-06,0.9170245253778786
2011-07,0.8071477421077671
2011-08,0.6881826394938322
2011-09,0.5079455164017754
2011-10,0.5308322669940511
2011-11,0.48988186585354865
2011-12,0.5088371910154088
2012-01,0.47621054893037296
2012-02,0.4765032111508809
2012-03,0.604579156235163
2012-04,0.5322311328953544
2012-05,0.4816468836199794
2012-06,0.4020889219883612
2012-07,0.37461573042218843
2012-08,0.466367987846632
2012-09,0.3834844189679074
2012-10,0.438398975666096
2012-11,0.3883148734414139
2012-12,0.4061743221466938
2013-01,0.48928369021957097
2013-02,0.4525286914934663
2013-03,0.47360735777550067
2013-04,0.4676061644930589
2013-05,0.5221761577626571
2013-06,0.5757961258283639
2013-07,0.7522216112435793
2013-08,0.8113923364148417
2013-09,0.7404397105409934
2013-10,0.7649045359730489
2013-11,0.6646283902666048
2013-12,0.8234320681848581
2014-01,0.8071887067366452
2014-02,0.6618765135766469
2014-03,0.758126472084832
2014-04,0.7516342327896197
2014-05,0.7000117917293698
2014-06,0.713826936735134
2014-07,0.7372540344136345
2014-08,0.6522625800074784
2014-09,0.6914125895734937
2014-10,0.6506034129970004
