DATE,Return
1998-01,-6.339849822557592
1998-02,-6.3595508074636875
1998-03,-6.43005428565878
1998-04,-6.45092353074654
1998-05,-6.498826223261469
1998-06,-6.28056175936496
1998-07,-6.341615326917386
1998-08,-6.465796718250115
1998-09,-5.987604484956589
1998-10,-5.919705771432371
1998-11,-6.120874003714318
1998-12,-5.893624712915044
1999-01,-5.918990559146252
1999-02,-6.242282562377591
1999-03,-6.401205784591084
1999-04,-6.352055972403722
1999-05,-6.814970480796175
1999-06,-7.175561668885676
1999-07,-7.192046092391092
1999-08,-7.406254091687235
1999-09,-7.368551792448025
1999-10,-7.427460458547616
1999-11,-7.30093814103078
1999-12,-7.482156105260077
2000-01,-7.960903548791901
2000-02,-7.890108083256357
2000-03,-7.683280171646352
2000-04,-7.740795755780192
2000-05,-8.291915050603418
2000-06,-7.906066450384122
2000-07,-7.856341275904171
2000-08,-7.609300895058329
2000-09,-7.753482974719764
2000-10,-7.704949485421771
2000-11,-7.750068610107309
2000-12,-7.265946554376271
2001-01,-7.045363423323836
2001-02,-7.06229073539586
2001-03,-6.834204710803391
2001-04,-6.923185638345606
2001-05,-7.1049098125987245
2001-06,-6.9950353894275645
2001-07,-6.930740149595404
2001-08,-6.754108406880758
2001-09,-6.851723405705639
2001-10,-6.4919008886668585
2001-11,-6.284824095875955
2001-12,-6.702426165911072
2002-01,-6.62557383245698
2002-02,-6.5407662110397276
2002-03,-6.743261107137926
2002-04,-6.79141762591922
2002-05,-6.719081481352177
2002-06,-6.52245535380818
2002-07,-6.469004275149407
2002-08,-6.165118566693506
2002-09,-5.900024318252428
2002-10,-5.843551199666286
2002-11,-5.712930379295013
2002-12,-5.690332571885029
2003-01,-5.537414692683044
2003-02,-5.357003608256871
2003-03,-5.231642432315668
2003-04,-5.168955892819968
2003-05,-4.739101290390478
2003-06,-4.5086777853231474
2003-07,-5.113776298041463
2003-08,-5.632126796406513
2003-09,-5.461944364585526
2003-10,-5.355038513364283
2003-11,-5.372871495928627
2003-12,-5.269234459221108
2004-01,-5.162723613049245
2004-02,-5.117791026262389
2004-03,-4.886358919617867
2004-04,-5.416790751960349
2004-05,-5.827916549902646
2004-06,-5.842011001228568
2004-07,-5.644290519520027
2004-08,-5.38771264967663
2004-09,-5.170636124473161
2004-10,-5.12598575630906
2004-11,-5.141405063704029
2004-12,-5.1375417871567945
2005-01,-5.1652904674422935
2005-02,-5.011096653867887
2005-03,-5.35911765556029
2005-04,-5.260108582083264
2005-05,-5.040047953368791
2005-06,-4.900142714179868
2005-07,-5.004031713096381
2005-08,-5.1112221045986
2005-09,-5.063050975683266
2005-10,-5.357740779932313
2005-11,-5.414813903480907
2005-12,-5.400952349317197
2006-01,-5.334533228658892
2006-02,-5.509546842271644
2006-03,-5.648904189591111
2006-04,-5.927844347082156
2006-05,-6.090916916538203
2006-06,-6.089913403495403
2006-07,-6.064914121196547
2006-08,-5.828725806884973
2006-09,-5.665433702032218
2006-10,-5.658491996414605
2006-11,-5.533533343656904
2006-12,-5.47738421718533
2007-01,-5.665940956976822
2007-02,-5.6918461759919445
2007-03,-5.560020017060793
2007-04,-5.65670930957324
2007-05,-5.717450771292638
2007-06,-6.137816322547885
2007-07,-6.171981878361988
2007-08,-6.097136427981143
2007-09,-6.004205991821399
2007-10,-5.925177661776446
2007-11,-5.984043417379416
2007-12,-6.038628508561298
2008-01,-5.93116343227777
2008-02,-6.044761192737288
2008-03,-6.245959623397818
2008-04,-6.072453302358771
2008-05,-6.229325818295932
2008-06,-6.635962384826314
2008-07,-6.839859371185303
2008-08,-6.837809535330878
2008-09,-7.520791433543792
2008-10,-9.01942452401777
2008-11,-8.38484904233871
2008-12,-7.192178423366501
2009-01,-6.955657343058054
2009-02,-7.1999311976202
2009-03,-7.444595538004677
2009-04,-7.096074920851737
2009-05,-6.996918553614833
2009-06,-6.619804172734391
2009-07,-6.175858272852215
2009-08,-5.8464398111314555
2009-09,-5.504276654276881
2009-10,-5.509762000526814
2009-11,-5.3726359385462725
2009-12,-5.482229429080662
2010-01,-5.516974245692262
2010-02,-5.581486310953454
2010-03,-5.421203574454503
2010-04,-5.435240769517987
2010-05,-5.35197584207319
2010-06,-5.243882442239839
2010-07,-4.841222150425365
2010-08,-4.647449183632604
2010-09,-4.422448896948865
2010-10,-4.393144005964459
2010-11,-4.582290249746577
2010-12,-4.9346999596528445
2011-01,-4.997354425640861
2011-02,-5.0880434362719065
2011-03,-5.001047312939167
2011-04,-4.971504619333464
2011-05,-4.773500952895223
2011-06,-4.758257461652479
2011-07,-4.741474425306666
2011-08,-4.406791107952328
2011-09,-4.291761988080896
2011-10,-4.252276961562559
2011-11,-4.295058715107011
2011-12,-4.271467236333364
2012-01,-4.116416937295015
2012-02,-4.029410536231883
2012-03,-4.1286676854685584
2012-04,-4.097497452372496
2012-05,-3.9626507257145436
2012-06,-3.700445017771664
2012-07,-3.4274024257952123
2012-08,-3.4702366304939147
2012-09,-3.4357638463822244
2012-10,-3.319789409716294
2012-11,-3.207153283314957
2012-12,-3.2629317690437154
2013-01,-3.389571903533131
2013-02,-3.5089393512349583
2013-03,-3.464012276017127
2013-04,-3.28191423222011
2013-05,-3.439237188316942
2013-06,-3.984999301595581
2013-07,-4.180537920086915
2013-08,-4.411298019479344
2013-09,-4.420250476740804
2013-10,-4.185404247238056
2013-11,-4.251950528632672
2013-12,-4.3264372080245534
2014-01,-4.235582905955812
2014-02,-4.006882969821838
2014-03,-3.993067834581773
2014-04,-3.9037992108465858
2014-05,-3.738969719926719
2014-06,-3.77094166825053
2014-07,-3.7250798308453423
2014-08,-3.5923447044201744
2014-09,-3.775513837249454
2014-10,-3.5667985393327966
2014-11,-3.6254664113536847
2014-12,-3.5641885875159973
2015-01,-3.2910408058384104
2015-02,-3.2551074891093768
2015-03,-3.3973961071142194
2015-04,-3.2914791801774648
2015-05,-3.61950861769541
2015-06,-3.9210116719797297
2015-07,-3.9102579705648153
2015-08,-3.9025808182558652
2015-09,-3.9164428312800017
2015-10,-3.7070168821873333
2015-11,-3.909495130889665
2015-12,-3.9075301850326927
2016-01,-3.890735322046952
2016-02,-3.7141283603090036
2016-03,-3.5540088855599414
2016-04,-3.397300601716667
2016-05,-3.3346753974747116
2016-06,-3.2090890787598756
2016-07,-2.994390199246684
2016-08,-3.0412192428990195
2016-09,-3.111234451139317
2016-10,-3.2294256789090343
2016-11,-3.545825478170705
