DATE,VIXCLS
1990-01-31,23.347272727272728
1990-02-28,23.262631578947367
1990-03-31,20.062272727272727
1990-04-30,21.4035
1990-05-31,18.097727272727273
1990-06-30,16.82238095238095
1990-07-31,18.392857142857142
1990-08-31,28.175217391304347
1990-09-30,29.10736842105263
1990-10-31,29.625652173913043
1990-11-30,24.885714285714286
1990-12-31,23.363
1991-01-31,27.429090909090913
1991-02-28,21.59842105263158
1991-03-31,17.74421052631579
1991-04-30,17.37272727272727
1991-05-31,16.93227272727273
1991-06-30,17.134999999999998
1991-07-31,17.294090909090908
1991-08-31,15.681363636363637
1991-09-30,16.9565
1991-10-31,16.36391304347826
1991-11-30,17.773500000000002
1991-12-31,18.347619047619048
1992-01-31,17.68318181818182
1992-02-29,17.47736842105263
1992-03-31,17.520454545454545
1992-04-30,16.562857142857144
1992-05-31,15.077000000000002
1992-06-30,15.203181818181816
1992-07-31,13.601818181818182
1992-08-31,14.421904761904763
1992-09-30,13.696666666666667
1992-10-31,17.63681818181818
1992-11-30,14.4245
1992-12-31,12.191363636363635
1993-01-31,12.409
1993-02-28,13.72157894736842
1993-03-31,13.60608695652174
1993-04-30,12.840952380952379
1993-05-31,13.606
1993-06-30,12.524090909090908
1993-07-31,11.50047619047619
1993-08-31,11.928636363636365
1993-09-30,12.931428571428572
1993-10-31,11.875238095238094
1993-11-30,14.083809523809524
1993-12-31,11.356363636363637
1994-01-31,11.29047619047619
1994-02-28,13.64421052631579
1994-03-31,15.223478260869564
1994-04-30,16.471052631578946
1994-05-31,13.897142857142857
1994-06-30,13.408636363636363
1994-07-31,12.4845
1994-08-31,11.889130434782608
1994-09-30,13.233333333333333
1994-10-31,15.245238095238093
1994-11-30,16.383809523809525
1994-12-31,14.177142857142858
1995-01-31,12.274285714285714
1995-02-28,11.47
1995-03-31,12.166521739130435
1995-04-30,12.442631578947369
1995-05-31,12.265909090909092
1995-06-30,11.896818181818183
1995-07-31,12.514
1995-08-31,12.798260869565217
1995-09-30,12.057
1995-10-31,14.357272727272727
1995-11-30,12.46904761904762
1995-12-31,11.7485
1996-01-31,13.473636363636365
1996-02-29,15.032999999999998
1996-03-31,17.76238095238095
1996-04-30,16.575238095238095
1996-05-31,16.14636363636364
1996-06-30,16.395
1996-07-31,17.978636363636365
1996-08-31,15.760454545454547
1996-09-30,16.578
1996-10-31,16.38173913043478
1996-11-30,15.997
1996-12-31,19.260952380952382
1997-01-31,19.473333333333333
1997-02-28,20.139473684210525
1997-03-31,20.169999999999998
1997-04-30,19.662272727272725
1997-05-31,19.924761904761905
1997-06-30,20.194285714285712
1997-07-31,20.529090909090908
1997-08-31,23.084761904761905
1997-09-30,23.812380952380952
1997-10-31,23.87086956521739
1997-11-30,32.20611111111111
1997-12-31,26.276363636363637
1998-01-31,23.8665
1998-02-28,19.998947368421053
1998-03-31,20.158636363636365
1998-04-30,22.02857142857143
1998-05-31,20.874000000000002
1998-06-30,21.66272727272727
1998-07-31,19.930000000000003
1998-08-31,31.58809523809524
1998-09-30,38.2047619047619
1998-10-31,36.60818181818182
1998-11-30,26.223000000000003
1998-12-31,25.479090909090907
1999-01-31,28.035263157894736
1999-02-28,28.82263157894737
1999-03-31,25.309565217391306
1999-04-30,23.478571428571428
1999-05-31,26.204500000000003
1999-06-30,23.626363636363635
1999-07-31,21.04904761904762
1999-08-31,24.323636363636364
1999-09-30,24.541428571428572
1999-10-31,24.021428571428572
1999-11-30,21.81809523809524
1999-12-31,22.15909090909091
2000-01-31,23.202
2000-02-29,23.5955
2000-03-31,22.718260869565217
2000-04-30,27.164210526315788
2000-05-31,26.37318181818182
2000-06-30,21.54
2000-07-31,19.893
2000-08-31,18.088695652173914
2000-09-30,19.6875
2000-10-31,25.2
2000-11-30,26.38285714285714
