Date,SPY,LQD,IEF
2003-01,-5.501267679475797,1.3695154740650528,0.825530156091614
2003-02,-1.347924324156502,1.9798734763470494,2.203974071571979
2003-03,0.21402306143993854,0.12078790116101246,-0.37994202164086666
2003-04,8.461150546883122,2.3578415687896648,0.13796721431200698
2003-05,5.483613231127582,3.9052104169404744,3.7908868419189057
2003-06,1.0651844941836464,-0.18025310685580997,-0.6917107382922172
2003-07,1.8027551808538655,-5.806032999125,-5.020067965512675
2003-08,2.0625501808488655,1.4507511352455538,0.7101829604576837
2003-09,-1.090602084703829,4.537525455227698,4.97529105822947
2003-10,5.352713312854385,-1.2630764479296896,-1.4663441113082265
2003-11,1.0921226345900203,0.3072215825540736,0.02251025137338658
2003-12,5.031250128151954,2.571946667302183,2.040236436195597
2004-01,1.9770474245704106,1.2208767571578516,1.0153172317989734
2004-02,1.356997590064335,1.5070320435521811,1.611936219788923
2004-03,-1.324552830724135,0.9891073673458539,1.2969466300234211
2004-04,-1.8921068848343547,-3.8876654569998337,-4.346242673361367
2004-05,1.7123172201119141,-0.5231896421448057,-0.5309759640375944
2004-06,1.8501634021806046,0.1264702737464818,0.6532651311845994
2004-07,-3.22190929224333,1.5625051693296976,1.2116740986358066
2004-08,0.24363033853866956,3.080895095965608,2.829679429264642
2004-09,1.0037011735879897,0.31141077148799656,0.3224019755917906
2004-10,1.2884418617739035,1.18303390560901,0.9891533022033494
2004-11,4.451754567353672,-1.219973122795237,-1.9777424154035939
2004-12,3.012088376056976,1.391023766224131,1.1673128628250096
2005-01,-2.2420464954079233,1.2283115388396881,0.8710375254711078
2005-02,2.0903652438096554,-0.936135275864558,-1.3683557444557182
2005-03,-1.829282548473976,-1.2623544956609,-0.40339154155513146
2005-04,-1.8735410339999925,1.6216823615602616,2.516444207521573
2005-05,3.2224809542830135,0.6226654893958905,1.8382657653010837
2005-06,0.15150770903111788,1.219873571286345,0.4783941378860179
2005-07,3.8261406354189287,-0.8264923385796652,-2.187003071577076
2005-08,-0.9374465387991249,1.5030433740372162,2.0005347997507528
2005-09,0.8025794510925888,-1.8608431815802184,-1.7522942964949717
2005-10,-2.3650994914206858,-1.5817280801291744,-1.2392304960324063
2005-11,4.395222402606125,0.6569845071372038,0.6253469575512316
2005-12,-0.19132270299316856,0.8609032986504506,1.3657982847218308
2006-01,2.4013850574197138,-0.43643614713829715,-0.7031358354742112
2006-02,0.5725603083939657,0.682434913184693,-0.10347279961092637
2006-03,1.650352185709325,-1.6834229733537764,-1.3579290785577847
2006-04,1.2632039228438474,-0.20210244261077426,-0.6271108406333825
2006-05,-3.012082363362867,-0.190065001969153,-0.10687476969931664
2006-06,0.26079015052329346,-0.08595346908548684,0.22969780085286828
2006-07,0.4478475831864115,1.4589613831126558,1.6772904983536563
2006-08,2.1822796116051757,2.225576237961091,1.7634412286186674
2006-09,2.7001318151730347,0.8724859136134411,1.2076648166197579
2006-10,3.1516622483483747,1.0012995297736138,0.5384184418278926
2006-11,1.9885468653584093,1.461398844100481,1.3115158883065137
2006-12,1.337063174761477,-0.8960933854107234,-1.2756837081701833
2007-01,1.504061320053185,0.0938084824400276,-0.4002254511711101
2007-02,-1.9617396928877318,2.0004681917679346,2.054969930113093
2007-03,1.1588747166574764,-0.675027301120612,-0.13819733904689713
2007-04,4.429619066416901,0.8915626036941848,0.6065211565408068
2007-05,3.3919872190177447,-1.2307634769770148,-1.393521761072869
2007-06,-1.462083888183352,-0.8100135332505864,-0.467649647134194
2007-07,-3.131010151517244,-0.8241333286720831,2.2567544615443413
2007-08,1.2833072789441013,2.3861536479092393,2.2631464169280413
2007-09,3.8714255310086543,0.7334674717848655,0.08832571673074163
2007-10,1.356679896837787,0.9646223323283465,1.0768435601300252
2007-11,-3.8732724316633327,1.0195116241217717,4.047720184066184
2007-12,-1.12608117448586,-0.8033778197817254,0.05051409303213905
2008-01,-6.046104452145795,2.565774916963859,3.355898972869986
2008-02,-2.5842484364318685,-0.706253197717277,1.2393490374292382
2008-03,-0.8942556731286411,-0.5971542833781873,1.3372806353555644
2008-04,4.766230586107056,1.2445435877912026,-2.4173229218142245
2008-05,1.511677912173992,-2.2050779583341895,-1.7775664670753533
2008-06,-8.357570299929407,-1.2917329722930249,1.1459208282935451
2008-07,-0.8986093355159652,0.3902311452869345,0.7206238761985118
2008-08,1.545365081030714,0.14476200161861463,1.5266164653233938
2008-09,-9.417371164273614,-10.730499120354974,-0.1403705516458187
2008-10,-16.518627359126548,-1.9410050256643774,-0.8628102343305466
2008-11,-6.960698107001939,3.353831933948359,7.7537233704895625
2008-12,0.9796294513013226,13.814276346057852,5.156253271331512
2009-01,-8.21139804820621,-1.800276014267188,-3.887156949762771
2009-02,-10.7449216050303,-5.203990567405558,-0.7349138916543096
2009-03,8.331137982389048,0.4718250748575681,3.313686591359466
2009-04,9.934595208539164,2.776761038476394,-2.7451967598375315
2009-05,5.845290648554835,2.3169187536114855,-2.0773421262737957
2009-06,-0.06547492323462079,2.8912659260894813,-0.557144420489275
2009-07,7.460573125662617,4.63275174262594,0.8316971823107977
2009-08,3.693959818345438,1.3099796771011585,0.7634487907157261
2009-09,3.5457435885543287,1.75898451291705,1.1243198071184457
2009-10,-1.9225283912026714,-0.4971858498042825,-0.13783870718049318
2009-11,6.16067551118431,1.9525677635211958,2.0170495570755342
2009-12,1.9100711693144534,-2.0673565121316573,-4.402823229701669
2010-01,-3.6342580007802994,1.2482299928485263,2.370271789245293
2010-02,3.1194799952474206,0.5066211801347142,0.33184125490532956
