,recovery-SPY,expansion-SPY,slowdown-SPY,contraction-SPY,buy_and_hold-SPY,recovery-LQD,expansion-LQD,slowdown-LQD,contraction-LQD,buy_and_hold-LQD,recovery-IEF,expansion-IEF,slowdown-IEF,contraction-IEF,buy_and_hold-IEF
const,-0.023599227,-0.033439591,-0.022928907,-0.013690369,-0.029187857,-0.039477888,-0.032836801,-0.047624468,-0.028855145,-0.04053105,-0.023269118,-0.035228882,-0.042718394,-0.016055648,-0.035837467
credit03,14.00449072,19.492454,-3.052820061,7.052141252,14.99002273,29.74563022,15.10954006,27.62866026,25.80280896,26.47278597,14.7520658,17.94636331,27.19459886,17.0195428,23.44560436
term03,-11.33732485,-15.35905952,17.60325228,-5.529662021,-10.70271624,-28.30195719,-9.569130676,-26.151098,-29.2789202,-24.60088466,-12.05387832,-12.9552864,-27.92348432,-19.82686423,-21.60253205
equity01,0.994203114,1.031308077,0.984756662,1.01323491,1.028607742,0.124722839,0.102092792,-0.025820058,0.277810701,0.196421576,-0.121329336,-0.055205791,-0.245535126,-0.055518139,-0.084910816
